Erster    ;7208,9 ;Gesamtzeit         ;99602,1     ; ;PipeZeit ;22231,9
          ;2665,6 ;                   ;            ; ;         ;
          ;2660,5 ;                   ;            ; ;         ;
          ;2664,4 ;                   ;            ; ;         ;
          ;2676,4 ;                   ;            ; ;         ;
          ;2654   ;                   ;            ; ;         ;
          ;2669,3 ;                   ;            ; ;         ;
          ;2669   ;                   ;            ; ;         ;
          ;2668,1 ;                   ;            ; ;         ;
          ;2665,5 ;                   ;            ; ;         ;
          ;2662,7 ;                   ;            ; ;         ;
          ;2657,5 ;                   ;            ; ;         ;
          ;       ;                   ;            ; ;         ;
F�nfter   ;4195,1 ;Gesamtzeit         ;94947,6     ; ;PipeZeit ;22265,6
          ;2671,8 ;Durchschnitt       ;2712,788571 ; ;         ;
          ;2678,1 ;                   ;            ; ;Faktor   ;4,264318051
          ;2687   ;                   ;            ; ;         ;
          ;2669,7 ;                   ;            ; ;         ;
          ;2657,2 ;                   ;            ; ;         ;
          ;2676,2 ;                   ;            ; ;         ;
          ;2645,2 ;                   ;            ; ;         ;
          ;2663   ;                   ;            ; ;         ;
          ;2678,2 ;                   ;            ; ;         ;
          ;2685,4 ;                   ;            ; ;         ;
          ;2665,6 ;                   ;            ; ;         ;
          ;2679,3 ;                   ;            ; ;         ;
          ;2686,9 ;                   ;            ; ;         ;
          ;2678,2 ;                   ;            ; ;         ;
          ;2690,9 ;                   ;            ; ;         ;
          ;2678,4 ;                   ;            ; ;         ;
          ;2668,6 ;                   ;            ; ;         ;
          ;2668,6 ;                   ;            ; ;         ;
          ;2664,8 ;                   ;            ; ;         ;
          ;2654,2 ;                   ;            ; ;         ;
          ;2656,4 ;                   ;            ; ;         ;
          ;2642,4 ;                   ;            ; ;         ;
          ;2664,9 ;                   ;            ; ;         ;
          ;2664,4 ;                   ;            ; ;         ;
          ;2649,9 ;                   ;            ; ;         ;
          ;2652,8 ;                   ;            ; ;         ;
          ;2656,4 ;                   ;            ; ;         ;
          ;2670,2 ;                   ;            ; ;         ;
          ;2665,4 ;                   ;            ; ;         ;
          ;2667,3 ;                   ;            ; ;         ;
          ;2675,1 ;                   ;            ; ;         ;
          ;2676,2 ;                   ;            ; ;         ;
          ;2677,3 ;                   ;            ; ;         ;
          ;2686,5 ;                   ;            ; ;         ;
          ;       ;                   ;            ; ;         ;
Sechster  ;3908,8 ;Gesamtzeit         ;94561,8     ; ;PipeZeit ;22025,6
          ;2658,6 ;Durchschnitt       ;2701,765714 ; ;         ;
          ;2665,2 ;                   ;            ; ;Faktor   ;4,293267834
          ;2670,9 ;                   ;            ; ;         ;
          ;2658,7 ;                   ;            ; ;         ;
          ;2670,3 ;                   ;            ; ;         ;
          ;2673   ;                   ;            ; ;         ;
          ;2680,6 ;                   ;            ; ;         ;
          ;2665,9 ;                   ;            ; ;         ;
          ;2671,1 ;                   ;            ; ;         ;
          ;2674,8 ;                   ;            ; ;         ;
          ;2685,6 ;                   ;            ; ;         ;
          ;2683,9 ;                   ;            ; ;         ;
          ;2676,8 ;                   ;            ; ;         ;
          ;2675,1 ;                   ;            ; ;         ;
          ;2665,1 ;                   ;            ; ;         ;
          ;2679   ;                   ;            ; ;         ;
