Erster    ;4147,1 ;Gesamtzeit         ;28173,5     ; ;PipeZeit ;11794,7
F�nfter   ;4087,7 ;Gesamtzeit         ;25715,8     ; ;PipeZeit ; 9233,7
          ;2716,4 ;Durchschnitt       ;2857,311111 ; ;         ;     
          ;2697   ;                   ;            ; ;Faktor   ;    2,784994098
          ;2696,4 ;                   ;            ; ;         ;     
          ;2714,8 ;                   ;            ; ;         ;     
          ;2700,4 ;                   ;            ; ;         ;     
          ;2701,9 ;                   ;            ; ;         ;     
          ;2705,2 ;                   ;            ; ;         ;     
          ;2696   ;                   ;            ; ;         ;     
          ;       ;                   ;            ; ;         ;     
Sechster  ;4338,2 ;Gesamtzeit         ;26229,5     ; ;PipeZeit ; 9207,4
          ;2753,6 ;Durchschnitt       ;2914,388889 ; ;         ;     
          ;2744,4 ;                   ;            ; ;Faktor   ;    2,84874123
          ;2729,1 ;                   ;            ; ;         ;     
          ;2753   ;                   ;            ; ;         ;     
          ;2741,7 ;                   ;            ; ;         ;     
          ;2726,5 ;                   ;            ; ;         ;     
          ;2728   ;                   ;            ; ;         ;     
          ;2715   ;                   ;            ; ;         ;     
          ;       ;                   ;            ; ;         ;     
Siebenter ;4183,9 ;Gesamtzeit         ;26243,2     ; ;PipeZeit ; 9372,5
          ;2882,7 ;Durchschnitt       ;2915,911111 ; ;         ;     
          ;2729,3 ;                   ;            ; ;Faktor   ;    2,800021339
          ;2740,1 ;                   ;            ; ;         ;     
          ;2722,7 ;                   ;            ; ;         ;     
          ;2721,1 ;                   ;            ; ;         ;     
          ;2740,8 ;                   ;            ; ;         ;     
          ;2734,4 ;                   ;            ; ;         ;     
          ;2788,2 ;                   ;            ; ;         ;     
          ;       ;                   ;            ; ;         ;     
Achter    ;4080   ;Gesamtzeit         ;25683,5     ; ;PipeZeit ; 9369,2
          ;2699,1 ;Durchschnitt       ;2853,722222 ; ;         ;     
          ;2703,3 ;                   ;            ; ;Faktor   ;    2,741269265
          ;2711,8 ;                   ;            ; ;         ;     
          ;2706,1 ;                   ;            ; ;         ;     
          ;2694,4 ;                   ;            ; ;         ;     
          ;2689,8 ;                   ;            ; ;         ;     
          ;2699,5 ;                   ;            ; ;         ;     
          ;2699,5 ;                   ;            ; ;         ;     
          ;       ;                   ;            ; ;         ;     
Neunter   ;4061,9 ;Gesamtzeit         ;25811,2     ; ;PipeZeit ; 9380,2
          ;2706,6 ;Durchschnitt       ;2867,911111 ; ;         ;     
          ;2739   ;                   ;            ; ;Faktor   ;    2,751668408
          ;2746,9 ;                   ;            ; ;         ;     
          ;2711   ;                   ;            ; ;         ;     
          ;2721   ;                   ;            ; ;         ;     
          ;2714,8 ;                   ;            ; ;         ;     
          ;2703,6 ;                   ;            ; ;         ;     
          ;2706,4 ;                   ;            ; ;         ;     
          ;       ;                   ;            ; ;         ;     
Zehnter   ;4049,1 ;Gesamtzeit         ;25773,5     ; ;PipeZeit ; 9516,4
          ;2746,2 ;Durchschnitt       ;2863,722222 ; ;         ;     
          ;2711   ;                   ;            ; ;Faktor   ;    2,708324577
          ;2704,9 ;                   ;            ; ;         ;     
          ;2707,1 ;                   ;            ; ;         ;     
          ;2706,5 ;                   ;            ; ;         ;     
          ;2700,4 ;                   ;            ; ;         ;     
          ;2724   ;                   ;            ; ;         ;     
          ;2724,3 ;                   ;            ; ;         ;     
          ;       ;                   ;            ; ;         ;     
          ;       ;                   ;262676,7    ; ;         ;96868,4
          ;       ;                   ;2918,63     ; ;         ;    2,721344776
          ;       ;                   ;            ; ;         ;     
          ;       ;Minimum            ;2689,8      ; ;         ;     
          ;       ;Maximum            ;4750,3      ; ;         ;     
          ;       ;Durchschnitt       ;2918,63     ; ;         ;     
          ;       ;Median             ;2740,45     ; ;         ;     
          ;       ;Standardabweichung ;485,599169  ; ;         ;     
          ;       ;Varianz            ;927740,8016 ; ;         ;     
