Erster    ;4147,1 ;Gesamtzeit         ;28173,5     ; ;PipeZeit ;11794,7
          ;2866,1 ;Durchschnitt       ;3130,388889 ; ;         ;     
          ;2776,4 ;                   ;            ; ;Faktor   ;    2,388657617
          ;2796,2 ;                   ;            ; ;         ;     
          ;2779,7 ;                   ;            ; ;         ;     
          ;2779,5 ;                   ;            ; ;         ;     
          ;2760   ;                   ;            ; ;         ;     
          ;2864   ;                   ;            ; ;         ;     
          ;4404,5 ;                   ;            ; ;         ;     
          ;       ;                   ;            ; ;         ;     
Zweiter   ;4004,3 ;Gesamtzeit         ;26302,1     ; ;PipeZeit ;10146,6
          ;2866   ;Durchschnitt       ;2922,455556 ; ;         ;     
          ;2799,1 ;                   ;            ; ;Faktor   ;    2,592208227
          ;2780,3 ;                   ;            ; ;         ;     
          ;2770,9 ;                   ;            ; ;         ;     
          ;2758,1 ;                   ;            ; ;         ;     
          ;2774,3 ;                   ;            ; ;         ;     
          ;2803,2 ;                   ;            ; ;         ;     
          ;2745,9 ;                   ;            ; ;         ;     
          ;       ;                   ;            ; ;         ;     
Dritter   ;4102   ;Gesamtzeit         ;26178,4     ; ;PipeZeit ; 9281,4
          ;2761   ;Durchschnitt       ;2908,711111 ; ;         ;     
          ;2766,5 ;                   ;            ; ;Faktor   ;    2,820522766
          ;2767,9 ;                   ;            ; ;         ;     
          ;2754,5 ;                   ;            ; ;         ;     
          ;2742,7 ;                   ;            ; ;         ;     
          ;2759,3 ;                   ;            ; ;         ;     
          ;2754,3 ;                   ;            ; ;         ;     
          ;2770,2 ;                   ;            ; ;         ;     
          ;       ;                   ;            ; ;         ;     
Vierter   ;4750,3 ;Gesamtzeit         ;26566       ; ;PipeZeit ; 9566,3
          ;2777,6 ;Durchschnitt       ;2951,777778 ; ;         ;     
          ;2752,7 ;                   ;            ; ;Faktor   ;    2,777040235
          ;2712,3 ;                   ;            ; ;         ;     
          ;2724,7 ;                   ;            ; ;         ;     
          ;2715   ;                   ;            ; ;         ;     
          ;2708,1 ;                   ;            ; ;         ;     
          ;2706,5 ;                   ;            ; ;         ;     
          ;2718,8 ;                   ;            ; ;         ;     
          ;       ;                   ;            ; ;         ;     
